home_team,away_team,posteam,posteam_type,defteam,td_team,return_team,penalty_team,home_coach,away_coach
IND,DEN,DEN,away,IND,0,0,0,Tony Dungy,Mike Shanahan
IND,DEN,DEN,away,IND,0,0,0,Tony Dungy,Mike Shanahan
IND,DEN,DEN,away,IND,0,0,0,Tony Dungy,Mike Shanahan
NE,IND,IND,away,NE,0,IND,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,NE,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,NE,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,IND,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,NE,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,IND,IND,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,NE,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,NE,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,NE,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,IND,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,NE,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,IND,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,IND,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,IND,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,IND,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,NE,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,IND,NE,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,NE,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,NE,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,IND,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,NE,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,IND,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,NE,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,IND,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,IND,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,NE,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,0,0,Bill Belichick,Tony Dungy
NE,IND,IND,away,NE,0,NE,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
NE,IND,NE,home,IND,0,0,0,Bill Belichick,Tony Dungy
