play_type,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,play_type_nfl,special_teams_play,st_play_type,pass,rush,special,play
pass,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
extra_point,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,UNSPECIFIED,0.0,,0.0,0.0,1.0,0.0
kickoff,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,FREE_KICK,0.0,,0.0,0.0,1.0,0.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,RUSH,0.0,,0.0,1.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,end,RUSH,0.0,,0.0,1.0,0.0,1.0
no_play,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,PENALTY,0.0,,0.0,0.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,guard,RUSH,0.0,,0.0,1.0,0.0,1.0
no_play,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,PENALTY,0.0,,0.0,0.0,0.0,1.0
punt,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,UNSPECIFIED,0.0,,0.0,0.0,1.0,0.0
pass,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
pass,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
pass,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,RUSH,0.0,,0.0,1.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,RUSH,0.0,,0.0,1.0,0.0,1.0
extra_point,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,UNSPECIFIED,0.0,,0.0,0.0,1.0,0.0
kickoff,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,FREE_KICK,0.0,,0.0,0.0,1.0,0.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
field_goal,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,UNSPECIFIED,0.0,,0.0,0.0,1.0,0.0
kickoff,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,FREE_KICK,0.0,,0.0,0.0,1.0,0.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,1.0,,,,,middle,,RUSH,0.0,,1.0,0.0,0.0,1.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,end,RUSH,0.0,,0.0,1.0,0.0,1.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
no_play,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,PENALTY,0.0,,0.0,0.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,RUSH,0.0,,0.0,1.0,0.0,1.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
punt,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,UNSPECIFIED,0.0,,0.0,0.0,1.0,0.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,RUSH,0.0,,0.0,1.0,0.0,1.0
pass,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
pass,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
pass,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,RUSH,0.0,,0.0,1.0,0.0,1.0
pass,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
pass,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,guard,RUSH,0.0,,0.0,1.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,RUSH,0.0,,0.0,1.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,RUSH,0.0,,0.0,1.0,0.0,1.0
no_play,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,PENALTY,0.0,,0.0,0.0,0.0,1.0
field_goal,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,UNSPECIFIED,0.0,,0.0,0.0,1.0,0.0
,0.0,0.0,,0.0,0.0,0.0,,,,,,,END_GAME,0.0,,0.0,0.0,0.0,0.0
kickoff,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,FREE_KICK,0.0,,0.0,0.0,1.0,0.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,RUSH,0.0,,0.0,1.0,0.0,1.0
punt,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,UNSPECIFIED,0.0,,0.0,0.0,1.0,0.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,end,RUSH,0.0,,0.0,1.0,0.0,1.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
run,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,RUSH,0.0,,1.0,0.0,0.0,1.0
punt,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,UNSPECIFIED,0.0,,0.0,0.0,1.0,0.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,RUSH,0.0,,0.0,1.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,RUSH,0.0,,0.0,1.0,0.0,1.0
no_play,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,PENALTY,0.0,,0.0,0.0,0.0,1.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
punt,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,UNSPECIFIED,0.0,,0.0,0.0,1.0,0.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,RUSH,0.0,,0.0,1.0,0.0,1.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,tackle,RUSH,0.0,,0.0,1.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,end,RUSH,0.0,,0.0,1.0,0.0,1.0
no_play,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,PENALTY,0.0,,0.0,0.0,0.0,1.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,RUSH,0.0,,0.0,1.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,RUSH,0.0,,0.0,1.0,0.0,1.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
field_goal,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,UNSPECIFIED,0.0,,0.0,0.0,1.0,0.0
kickoff,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,FREE_KICK,0.0,,0.0,0.0,1.0,0.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,guard,RUSH,0.0,,0.0,1.0,0.0,1.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,tackle,RUSH,0.0,,0.0,1.0,0.0,1.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
,0.0,0.0,,0.0,0.0,0.0,,,,,,,END_QUARTER,0.0,,0.0,0.0,0.0,0.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,RUSH,0.0,,0.0,1.0,0.0,1.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,RUSH,0.0,,0.0,1.0,0.0,1.0
extra_point,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,UNSPECIFIED,0.0,,0.0,0.0,1.0,0.0
no_play,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,FREE_KICK,0.0,,0.0,0.0,0.0,1.0
kickoff,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,FREE_KICK,0.0,,0.0,0.0,1.0,0.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,end,RUSH,0.0,,0.0,1.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,RUSH,0.0,,0.0,1.0,0.0,1.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
no_play,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,PENALTY,0.0,,0.0,0.0,0.0,1.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,INTERCEPTION,0.0,,1.0,0.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,RUSH,0.0,,0.0,1.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,end,RUSH,0.0,,0.0,1.0,0.0,1.0
no_play,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,PENALTY,0.0,,1.0,0.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,tackle,RUSH,0.0,,0.0,1.0,0.0,1.0
pass,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
pass,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
field_goal,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,UNSPECIFIED,0.0,,0.0,0.0,1.0,0.0
kickoff,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,FREE_KICK,0.0,,0.0,0.0,1.0,0.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,RUSH,0.0,,0.0,1.0,0.0,1.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,SACK,0.0,,1.0,0.0,0.0,1.0
no_play,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,PENALTY,0.0,,0.0,0.0,0.0,1.0
punt,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,UNSPECIFIED,0.0,,0.0,0.0,1.0,0.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,RUSH,0.0,,0.0,1.0,0.0,1.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,end,RUSH,0.0,,0.0,1.0,0.0,1.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,end,RUSH,0.0,,0.0,1.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,tackle,RUSH,0.0,,0.0,1.0,0.0,1.0
pass,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,guard,RUSH,0.0,,0.0,1.0,0.0,1.0
pass,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
pass,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
field_goal,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,UNSPECIFIED,0.0,,0.0,0.0,1.0,0.0
kickoff,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,FREE_KICK,0.0,,0.0,0.0,1.0,0.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,SACK,0.0,,1.0,0.0,0.0,1.0
kickoff,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,FREE_KICK,0.0,,0.0,0.0,1.0,0.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,end,RUSH,0.0,,0.0,1.0,0.0,1.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
pass,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,INTERCEPTION,0.0,,1.0,0.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,RUSH,0.0,,0.0,1.0,0.0,1.0
extra_point,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,UNSPECIFIED,0.0,,0.0,0.0,1.0,0.0
kickoff,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,FREE_KICK,0.0,,0.0,0.0,1.0,0.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,RUSH,0.0,,0.0,1.0,0.0,1.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,RUSH,0.0,,0.0,1.0,0.0,1.0
pass,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
punt,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,UNSPECIFIED,0.0,,0.0,0.0,1.0,0.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,end,RUSH,0.0,,0.0,1.0,0.0,1.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,end,RUSH,0.0,,0.0,1.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,RUSH,0.0,,0.0,1.0,0.0,1.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
no_play,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,PENALTY,0.0,,0.0,0.0,0.0,1.0
extra_point,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,UNSPECIFIED,0.0,,0.0,0.0,1.0,0.0
kickoff,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,FREE_KICK,0.0,,0.0,0.0,1.0,0.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,end,RUSH,0.0,,0.0,1.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,RUSH,0.0,,0.0,1.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,RUSH,0.0,,0.0,1.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,RUSH,0.0,,0.0,1.0,0.0,1.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,tackle,RUSH,0.0,,0.0,1.0,0.0,1.0
no_play,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,PENALTY,0.0,,0.0,0.0,0.0,1.0
no_play,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,PENALTY,0.0,,1.0,0.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,end,RUSH,0.0,,0.0,1.0,0.0,1.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,SACK,0.0,,1.0,0.0,0.0,1.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
punt,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,UNSPECIFIED,0.0,,0.0,0.0,1.0,0.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,RUSH,0.0,,0.0,1.0,0.0,1.0
pass,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
punt,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,UNSPECIFIED,0.0,,0.0,0.0,1.0,0.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,RUSH,0.0,,0.0,1.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,end,RUSH,0.0,,0.0,1.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,end,RUSH,0.0,,0.0,1.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,tackle,RUSH,0.0,,0.0,1.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,end,RUSH,0.0,,0.0,1.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,tackle,RUSH,0.0,,0.0,1.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,end,RUSH,0.0,,0.0,1.0,0.0,1.0
pass,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
,0.0,0.0,,0.0,0.0,0.0,,,,,,,END_QUARTER,0.0,,0.0,0.0,0.0,0.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,RUSH,0.0,,0.0,1.0,0.0,1.0
punt,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,UNSPECIFIED,0.0,,0.0,0.0,1.0,0.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,RUSH,0.0,,0.0,1.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,RUSH,0.0,,0.0,1.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,end,RUSH,0.0,,0.0,1.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,RUSH,0.0,,0.0,1.0,0.0,1.0
field_goal,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,UNSPECIFIED,0.0,,0.0,0.0,1.0,0.0
kickoff,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,FREE_KICK,0.0,,0.0,0.0,1.0,0.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,end,RUSH,0.0,,0.0,1.0,0.0,1.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,RUSH,0.0,,0.0,1.0,0.0,1.0
punt,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,PENALTY,0.0,,0.0,0.0,1.0,0.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,end,RUSH,0.0,,0.0,1.0,0.0,1.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,INTERCEPTION,0.0,,1.0,0.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,RUSH,0.0,,0.0,1.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,RUSH,0.0,,0.0,1.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,RUSH,0.0,,0.0,1.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,guard,RUSH,0.0,,0.0,1.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,end,RUSH,0.0,,0.0,1.0,0.0,1.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,end,RUSH,0.0,,0.0,1.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,RUSH,0.0,,0.0,1.0,0.0,1.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
punt,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,UNSPECIFIED,0.0,,0.0,0.0,1.0,0.0
pass,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
pass,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
pass,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
pass,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
pass,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
pass,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
pass,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
pass,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
pass,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
extra_point,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,UNSPECIFIED,0.0,,0.0,0.0,1.0,0.0
kickoff,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,FREE_KICK,0.0,,0.0,0.0,1.0,0.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,RUSH,0.0,,0.0,1.0,0.0,1.0
kickoff,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,FREE_KICK,0.0,,0.0,0.0,1.0,0.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,tackle,RUSH,0.0,,0.0,1.0,0.0,1.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,end,RUSH,0.0,,0.0,1.0,0.0,1.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
no_play,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,PENALTY,0.0,,1.0,0.0,0.0,1.0
no_play,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,PENALTY,0.0,,1.0,0.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,end,RUSH,0.0,,0.0,1.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,tackle,RUSH,0.0,,0.0,1.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,end,RUSH,0.0,,0.0,1.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,RUSH,0.0,,0.0,1.0,0.0,1.0
field_goal,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,UNSPECIFIED,0.0,,0.0,0.0,1.0,0.0
,0.0,0.0,,0.0,0.0,0.0,,,,,,,END_GAME,0.0,,0.0,0.0,0.0,0.0
kickoff,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,FREE_KICK,0.0,,0.0,0.0,1.0,0.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,end,RUSH,0.0,,0.0,1.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,tackle,RUSH,0.0,,0.0,1.0,0.0,1.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
no_play,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,PENALTY,0.0,,0.0,0.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,RUSH,0.0,,0.0,1.0,0.0,1.0
pass,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,guard,RUSH,0.0,,0.0,1.0,0.0,1.0
punt,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,UNSPECIFIED,0.0,,0.0,0.0,1.0,0.0
pass,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,PASS,0.0,,1.0,0.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,RUSH,0.0,,0.0,1.0,0.0,1.0
